tage_seit_aussaat,depth,predicted_nFK
1,nFK_0010,78.1
1,nFK_1020,79
1,nFK_2030,61.5
1,nFK_3040,37.8
1,nFK_4050,25.9
1,nFK_5060,34
2,nFK_0010,68
2,nFK_1020,64.71
2,nFK_2030,61.42
2,nFK_3040,56.13
2,nFK_4050,50.85
2,nFK_5060,45.56
3,nFK_0010,56.62
3,nFK_1020,58.49
3,nFK_2030,60.35
3,nFK_3040,56.51
3,nFK_4050,52.68
3,nFK_5060,48.84
4,nFK_0010,45.87
4,nFK_1020,52.72
4,nFK_2030,59.57
4,nFK_3040,56.52
4,nFK_4050,53.48
4,nFK_5060,50.44
5,nFK_0010,44.93
5,nFK_1020,51.87
5,nFK_2030,58.82
5,nFK_3040,56.26
5,nFK_4050,53.7
5,nFK_5060,51.13
6,nFK_0010,56.28
6,nFK_1020,57.16
6,nFK_2030,58.05
6,nFK_3040,55.89
6,nFK_4050,53.73
6,nFK_5060,51.57
7,nFK_0010,51.22
7,nFK_1020,54.21
7,nFK_2030,57.19
7,nFK_3040,55.36
7,nFK_4050,53.52
7,nFK_5060,51.68
8,nFK_0010,46.11
8,nFK_1020,51.5
8,nFK_2030,56.88
8,nFK_3040,55.21
8,nFK_4050,53.54
8,nFK_5060,51.87
9,nFK_0010,40.39
9,nFK_1020,48.47
9,nFK_2030,56.56
9,nFK_3040,55.04
9,nFK_4050,53.51
9,nFK_5060,51.99
10,nFK_0010,35.12
10,nFK_1020,45.62
10,nFK_2030,56.12
10,nFK_3040,54.77
10,nFK_4050,53.43
10,nFK_5060,52.08
11,nFK_0010,32.25
11,nFK_1020,43.87
11,nFK_2030,55.5
11,nFK_3040,54.38
11,nFK_4050,53.26
11,nFK_5060,52.15
12,nFK_0010,53.17
12,nFK_1020,53.8
12,nFK_2030,54.42
12,nFK_3040,53.79
12,nFK_4050,53.16
12,nFK_5060,52.53
13,nFK_0010,64.51
13,nFK_1020,58.67
13,nFK_2030,52.83
13,nFK_3040,52.84
13,nFK_4050,52.85
13,nFK_5060,52.87
14,nFK_0010,57.1
14,nFK_1020,54.44
14,nFK_2030,51.77
14,nFK_3040,52.06
14,nFK_4050,52.35
14,nFK_5060,52.64
15,nFK_0010,48.81
15,nFK_1020,49.73
15,nFK_2030,50.65
15,nFK_3040,51.31
15,nFK_4050,51.96
15,nFK_5060,52.62
16,nFK_0010,38.29
16,nFK_1020,43.79
16,nFK_2030,49.28
16,nFK_3040,50.44
16,nFK_4050,51.59
16,nFK_5060,52.75
17,nFK_0010,29.59
17,nFK_1020,38.69
17,nFK_2030,47.8
17,nFK_3040,49.51
17,nFK_4050,51.23
17,nFK_5060,52.94
18,nFK_0010,22.72
18,nFK_1020,34.47
18,nFK_2030,46.23
18,nFK_3040,48.54
18,nFK_4050,50.85
18,nFK_5060,53.16
19,nFK_0010,16.48
19,nFK_1020,30.36
19,nFK_2030,44.25
19,nFK_3040,47.32
19,nFK_4050,50.39
19,nFK_5060,53.46
20,nFK_0010,45.76
20,nFK_1020,44.43
20,nFK_2030,43.1
20,nFK_3040,46.63
20,nFK_4050,50.17
20,nFK_5060,53.7
21,nFK_0010,42.89
21,nFK_1020,42.46
21,nFK_2030,42.04
21,nFK_3040,46.01
21,nFK_4050,49.99
21,nFK_5060,53.96
22,nFK_0010,34.81
22,nFK_1020,37.7
22,nFK_2030,40.59
22,nFK_3040,45.08
22,nFK_4050,49.58
22,nFK_5060,54.07
23,nFK_0010,28.95
23,nFK_1020,34.25
23,nFK_2030,39.55
23,nFK_3040,44.45
23,nFK_4050,49.36
23,nFK_5060,54.27
24,nFK_0010,59.02
24,nFK_1020,49.19
24,nFK_2030,39.36
24,nFK_3040,44.29
24,nFK_4050,49.22
24,nFK_5060,54.15
25,nFK_0010,54.71
25,nFK_1020,47.16
25,nFK_2030,39.62
25,nFK_3040,44.52
25,nFK_4050,49.42
25,nFK_5060,54.31
26,nFK_0010,45.5
26,nFK_1020,42.3
26,nFK_2030,39.09
26,nFK_3040,44.2
26,nFK_4050,49.3
26,nFK_5060,54.4
27,nFK_0010,36.47
27,nFK_1020,37.58
27,nFK_2030,38.69
27,nFK_3040,43.99
27,nFK_4050,49.29
27,nFK_5060,54.6
28,nFK_0010,30.1
28,nFK_1020,34.25
28,nFK_2030,38.39
28,nFK_3040,43.89
28,nFK_4050,49.4
28,nFK_5060,54.9
29,nFK_0010,24.94
29,nFK_1020,31.52
29,nFK_2030,38.1
29,nFK_3040,43.82
29,nFK_4050,49.55
29,nFK_5060,55.28
30,nFK_0010,18.72
30,nFK_1020,28.17
30,nFK_2030,37.61
30,nFK_3040,43.64
30,nFK_4050,49.68
30,nFK_5060,55.71
31,nFK_0010,12.65
31,nFK_1020,24.92
31,nFK_2030,37.19
31,nFK_3040,43.63
31,nFK_4050,50.06
31,nFK_5060,56.5
32,nFK_0010,11.99
32,nFK_1020,24.48
32,nFK_2030,36.97
32,nFK_3040,43.7
32,nFK_4050,50.42
32,nFK_5060,57.14
