parameter,B0020,B2040,B4060
B0020_nFK_prozent_Vortag,0.0554996260312121,0.0214698343617504,0.0265370138452978
B2040_nFK_prozent_Vortag,0.0165370672087754,0.0695200624510141,0.0368191663868235
B4060_nFK_prozent_Vortag,0.0342317730196863,0.024059265858119,0.0736076758729892
tage_seit_aussaat,0.000180179578102027,0.000489719161823081,0.000769600193291312
Tmean_gradC,0.00137042483559789,0.00112611614383028,0.00182770222095804
Tmean_th9_25_gradC,0.000271923615133487,0.000124853285374067,3.43325995714195e-05
Tmin_gradC,0.000477065198022354,0.000157647108286193,0.000426290332183557
Tmax_gradC,0.000148096075066146,5.33158372515926e-05,0.000162203895551617
relLuftfeuchte_mean_prozent,0.0035393393050269,0.000759069941811502,0.00192094225225542
globalstrahlung_Wh_m2,0.00435087667952041,0.000842557269270544,0.0027051891204694
windgeschwindigkeit_m_s,0.000528510172370603,0.00023590130534826,0.000402874545959472
tageslicht_h,0.000769890552552462,0.000228878829875524,0.000549447585941532
tageslicht_h_th9,0.000170120602743534,7.50586279780716e-05,0.000189503043934508
Tmean_gradC_sum,0.000214769291041679,0.000101218345988284,0.000838870189375069
Tmean_th9_25_gradC_sum,0.000482810851650948,0.000180703228464187,0.000145731394700138
globalstrahlung_Wh_m2_sum,0.000477354134446035,0.000117878751333605,0.000180460083900232
niederschlag_mm_sum,0.0296064852634915,0.00392283956675996,0.0145655836132272
tageslicht_h_sum,1.2774084465538e-07,2.93281112006773e-08,2.20505202570092e-08
tageslicht_h_th9_sum,0.000985857339943995,0.000501676005081414,0.00052469689394355
Ton_prozent,0.00243428424486495,0.0012234114510819,0.00121597656403508
Schluff_prozent,0.00281270816468555,0.00120818022885927,0.0015920582826082
Sand_prozent,0.00409141844218054,0.00115556990700961,0.00238354091152353
C_org_prozent,0.0034740681846859,0.0011774474816565,0.00273072609648524
ibi,0.00427452091063634,0.00242762238931921,0.00304504262175613
irmi,0.00344476436163981,0.00201718306437167,0.00219668586007244
wasser_input_Vortag,0.00498444105623737,0.00113778125178882,0.00309721863339625
