tage_seit_aussaat,durchwurzelte_schicht_cm,durchwurzelte_schicht_10cm
1,1.7,10
2,1.7,10
3,1.7,10
4,1.7,10
5,1.7,10
6,1.7,10
7,1.7,10
8,1.7,10
9,1.7,10
10,1.7,10
11,1.7,10
12,1.7,10
13,1.7,10
14,1.7,10
15,1.7,10
16,1.7,10
17,1.7,10
18,2.1,10
19,2.5,10
20,2.9,10
21,3.5,10
22,4.1,10
23,4.9,10
24,5.8,10
25,6.8,10
26,6.8,10
27,6.8,10
28,6.8,10
29,8,10
30,9.3,10
31,10.8,20
32,12.5,20
33,12.5,20
34,12.5,20
35,12.5,20
36,12.5,20
37,12.5,20
38,12.5,20
39,14.3,20
40,16.3,20
41,18.3,20
42,20.4,30
43,22.5,30
44,22.5,30
45,22.5,30
46,22.5,30
47,24.5,30
48,26.5,30
49,28.4,30
50,30.1,40
51,30.1,40
52,31.6,40
53,33,40
54,34.2,40
55,35.2,40
56,35.2,40
57,35.2,40
58,36,40
59,36.8,40
60,37.4,40
61,37.9,40
62,38.3,40
63,38.6,40
64,38.9,40
65,39.1,40
66,39.3,40
67,39.4,40
68,39.6,40
69,39.6,40
70,39.7,40
71,39.8,40
72,39.8,40
73,39.9,40
74,39.9,40
75,39.9,40
76,39.9,40
77,39.9,40
78,40,40
79,40,40
80,40,40
81,40,40
82,40,40
83,40,40
84,40,40
85,40,40
86,40,40
87,40,40
