Parameter;Beschreibung;Value example;Nachkommastellen;Kommentar
T0060_mm;mm Wasser in Bodentiefe 0-60cm;89.82;2;Output Y. Weiterer Schritt: Wassergehalt_mm_bei_100%_nFK - Y = Bewässerungsbedarf
T0020_nFK_Vortag;mm Wasser in Bodentiefe 0-20cm;92.38;2;Input, (momentan aus Messungen. Später aus dieser Berechnung)
T2040_nFK_Vortag;mm Wasser in Bodentiefe 20-40cm;96.04;2;Input, (momentan aus Messungen. Später aus dieser Berechnung)
T4060_nFK_Vortag;mm Wasser in Bodentiefe 40-60cm;95.34;2;Input, (momentan aus Messungen. Später aus dieser Berechnung)
Tage_seit_Aussaat;Anzahl Tage seit Aussaat;13;0;Input
Tmax;Tagesmaximaltemperatur (°C);12;1;Input
Tmin;Tagesminimaltemperatur (°C);7.5;1;Input
Tmean;Tagesmitteltemperatur (°C);8.6;1;Input
RF;relative Luftfeuchte (%) Tagesmittelwert;73.1;1;Input
Glob;Globalstrahlung MJ/m2;4.3;1;Input
RHmin;relative Luftfeuchte (%) Tagesminimum;56.7;1;Input
V2;Windgeschwindigkeit in 2 m Höhe (m/s);0.8;1;Input
wasser_input_Vortag;Niederschlag (mm) + Bewässerung (mm);3.2;1;Input
IBI;Index Isaria;24.7;1;Input
IRMI;Index Isaria;12.5;1;Input
